"latitude","longitude"
43,-79
33,-80
50,99
34,-117
16,108
42,-88
50,30
42,-88
41,-74
21,87
48,-124
52,0
48,-114
22,114
26,-80
30,-98
40,-73
44,-111
32,35
465645,914651
44,72
21,-87
42,-88
36,-115
39,-87
41,-112
12,76
42,-88
40,116
45,-93
44,121
40,-106
44,-74
38,-122
13,104
45,-93
36,-86
37,127
41,29
47,-121
34,109
57,-6
-24,32
43,-76
46,-123
39,121
37,-122
28,-81
45,-93
19,74
46,-124
45,-93
36,120
3114494,12129566
40,116
41,2
40,-75
18,-66
45,-93
41,-74
6,1
34,-4
42,91
30,53
45,-93
45,-93
46,7
52,4
