year,cafe_mac,fave_temp,hangout,latitude,longitude,birthday,highest_math,breakfast,height_cm,phys_activity,gen_ai_usage,pets_owned,screen_time,hours_hw_study
first year,Focaccia,20,a beach,45,-93,7/14/08,Pre-calculus,Yes,180,2,1,"cat, dog, bird",6,3
first year,egg and fried potatoes,50,the mountains,5.47,10.45,1/4/07,calc 1,Yes,165,1,2,none,8+,5
first year,The day when they made all the random pizzas,21.1111,a forest,37.815686,-122.478234,7/20/07,"Pre calculus, AP statistics",Yes,183.8325,4,3,dog,4-5,1-2
senior,Mac and Cheese,76,a forest,40.41852404,-3.706151649,9/4/03,calculus 1,No,181,5,3,dog,4,5
senior,Ice Cream,23.8889,a beach,10.2976,85.8412,8/31/04,135,Yes,171.45,3,4,"cat, dog",7,2
sophomore,Burger,23,the mountains,38.904176,-77.051759,11/9/05,Linear Algebra ,No,195,2,3,dog,4,3
first year,Yogurt,5,the mountains,64.02278974,-21.21218368,8/22/07,Calc 2,Yes,158,3,2,"cat, dog",5,4
junior,Mac and cheese ,20s,a forest,36.52024532,-81.927813,10/20/04,Calc 2,Yes,185,3,2,dog,,3
sophomore,Ribs,18,a forest,44.488745,-72.769243,4/29/06,AP Calculus,Yes,188,2,2,dog,4-5,6
first year,pasta,21,the mountains,34.86050928,-111.8020044,1/28/07,calculs,Yes,182.88,4,2,dog,5 hours,2-3
sophomore,Black bean burger,23,a beach,45.5146962,-122.6997158,,Calculus 1,No,160,3,2,none,3,3
first year,Vanilla Soft Serve w/ Oreo Crumbs,22,the mountains,44.66600486,-109.1251006,7/30/07,Pre- Calculus ,No,160,3,1,cat,5,5
first year,the soft serve,24,a prairie,44.9422269,-93.19914823,5/1/07,AP Precalc and AP stats (tied?),No,178,2,1,cat,6,4
first year,Vanilla Ice Cream,26.67,a beach,40.7128°,74.0060°,10/6/07,Math 135,Yes,170.18,2,3,none,4,8
first year,Focaccia,19,a city,44.44851561,-93.15726219,11/8/06,Calculus I,No,172.72,4,2,"cat, dog",12,2
sophomore,Ice cream,21,a beach,37.79341,-122.48365,8/29/06,Discrete Mathematics,Yes,179,5,3,"dog, horse",3,3
first year,French Fries,26,a city,36.16076571,-115.1753192,,calc 1,No,181,4,4,none,6,3
junior,The potato soup,0,the mountains,42.35645271,-71.06237576,4/3/05,"Calculus 2 (maybe, it was in high school, I can't remember)",Yes,185.42,4,3,dog,8,3
sophomore,french fries,21,a beach,40.7783513,-73.96963257,4/14/06,calc 2,No,167,4,2,none,3,4
first year,Pierogis... or the pastries.,24,a prairie,50.82307134,-0.136310608,2/9/26,AP Statistics & Pre-Calc/Trig,Yes,160,2,1,cat,6,3
first year,sandwich,20,a city,"31.113404388975805, ",121.0119048,3/27/05,237,No,175,3,4,"cat, dog",8-10 hours,6h
senior,Baked potato bar,24,a forest,35,79,4/25/04,Calculus 3/ Linear Algebra,Yes,165,4,3,"cat, dog",5,8
first year,chocolate milk,18,a city,32.7157,117.1611,6/16/07,A,No,163,3,2,none,6,4
senior,chilli,20,a beach,46.05620467,-89.3113167,8/19/04,calculus i (college level),Yes,165,4,3,dog,7,4
first year,cookies!,22,the mountains,47.63968005,-124.3789887,6/16/06,Calculus II,Yes,171,2,1,none,5,3
sophomore,Burgers,26.6,a beach,41.48605874,-81.42780465,3/20/06,Calc 2,No,155.7528,4,2,dog,3,5
first year,Mashed potatoes ,21,a forest,47.49,19,2/5/07, Multivariable calculus ,Yes,164,3,1,Hamster,4,3
first year,Strawberry Dragonfruit juice!,27,a beach,18.353568,-64.754958,2/11/07,Precalculus,Yes,177,2,1,"cat, dog",2.5,3
sophomore,Burger,10,a city,26.08817,119.27661,8/31/06,MATH 279,No,173,2,3,none,8,4
junior,Tomato soup,24,a beach,26.16323,-81.81103,4/27/04,calc II,Yes,177,3,2,bird,3,3
first year,Pasta with shrimps,+25,a beach,71,37,7/3/05,IB Math AI HL,Yes,169,3,3,none,2,3
first year,espresso muffin,21,a forest,42.21535852,-71.3288749,5/12/06,Multivariable Calculus II,Yes,173,3,2,dog,2,3
junior,fried cabage ,25,a beach,"25°37'18.5""N"," 100°15'47.2""E",10/5/05,calculus,Yes,170,4,5,cat,8,3
senior,Fries,24,the desert,55.159711,-6.81018,9/18/03,Calculus ,No,162,2,1,cat,6,2
first year,Pizza,23,a beach,44.9459027,-93.16300399,10/4/06,IB Math analysis and approach Standard Level,Yes,165 - not sure,4,2,none,5 hours,4 hours
first year,fries ,19,a city,"40°44'20.0""N","44°50'13.5""E",6/1/06,ib math aa sl,No,158,2,2,none,4,6
senior,cesar salad,25,a forest,-33.973873,18.490444,3/11/04,AP Calculus,No,172,2,1,none,5.5,4
junior,Vegan chocolate chip cookie,21,a beach,40.43299723,3.717499274,1/22/05,,Yes,157,3,2,,4.5,4
first year,Weekend brunch,18,a forest,47.88707314,90.87506499,12/4/06,MATH 137: Applied Multivariable Calculus II,Yes,170.18,2,2,dog,5,8
senior,Tator tots,24,a beach,25.20582,55.27279,3/16/04,Calculus (135),Yes,165.1,3,3,none,4,5
senior,Chicken and fries!,21,a beach,44,-93,9/18/03,Appl Multivar Calculus I,Yes,170,3,1,none,3,4
first year,Waffle fries,20,a city,40,-74,1/12/07,AP Calculus AB,Yes,155,3,2,dog,10,5
first year,Curry (except the butternut squash variety),74,the mountains,41,2,6/8/07,AP Stats,No,158,1,1,dog,6,3
