field_plot_number,date,location,transect_number,latitude,longitude,geographic_landmark,elevation,plot_radius,plot_size,site_physiography,slope,aspect,surface_geomorphology_unit,subsurface_geomorphology_unit ,macrotopography,microtopography,microrelief,water_regime,water_depth,saturated_less_than_30cm,drainage,soil_moisture,lowest_mottle_depth,low_matrix_depth,hydric_soil,water_ph,water_conductivity,soil_ph_10cm,soil_ph_30cm,soil_conductivity,site_ph,site_conductivity,site_chemistry,thaw_depth,permafrost,top_organic_layer_depth,cumulative_organic_layers,dominant_mineral_texture_top_40cm,loess_thickness,root_depth,surface_fragment_cover,frost_boils,rock_depth,cryoturbation,soil_stratigraphy,soil_sample,soil_plug_probe_max_depth,soil_sampling_method,soil_class,soil_association,vegetation_classification,ecotype_veg_structure,disturbance_classes,field_floristic_class,field_floristic_class,final_floristic_class,plot_ecotype,dominant_plants,ecotype_analysis,environmental_outliers,vegetation_outlier,geomorphology_data_review,ecotype_rare,veg_sampling_quality,ecotype_abbrev,map_ecotype_arctic_network_nps,map_ecotype_abbrev_arctic_network_nps,map_veg_arctic_network_nps,soil_landscape_description,cover_needleleaf_trees,needleleaf_tree_crown_class,cover_broadleaf_trees,broadleaf_tree_crown_class,cover_dwarf_broadleaf,dwarf_broadleaf_crown_class,Cover_dwarf_needleleaf,cover_dwarf_needleaf,cover_standing_dead_trees,cover_tall_shrubs,cover_low_shrubs,cover_dwarf_shrubs,cover_graminoids,cover_tussock,cover_forbs,cover_mosses,cover_lichens,cover_litter,cover_litter_alone,cover_bare_soil,cover_water,notes,field_notes,observer_environ_data,observer_veg_data,office_notes,data_origin
BELA_T01_02_2002,20020710,Bering Land Bridge National Preserve,T1,65.42937,-164.10435,Lower Kuzitrin,37,10,314,riverine,1,355,Fmraf,NA,"Fluvial, bar",Ripples,2,Seasonally Flooded,-47,No,Well drained,Moist,-9999,-9999,No,7.3,50,7.8,-9999,20,7.3,50,c,97,NA,0,0,Sandy,-9999,-9999,0,0,200,No,No,Yes,-9999,Pit,Epco,"Oxyaquic Gelorthents-Oxyaquic Cryopsamments, sandy-gravelly",Bbg,BP,NA,NA,Salix alaxensis-Epilobium latifolium,Salix alaxensis-Epilobium latifolium,RSNMB,soil-rumex-wilphy,Y,No,No,Yes,No,4,Riverine Barrens,Riverine Gravelly Moist Circumalkaline Barrens,Riverine Barrens,Partially Vegetated,Riverine Gravelly Barrens and Shrublands,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,0,0,0.1,0,0,0,0,100,0,NA,NA,"TH, Mark Torre Jorgenson",Mark Torre Jorgenson,"Discon, ok, not enough vegetation for good floristic class; soil thaw depth 97 cm but early in summer","ABR Inc., Fairbanks, AK"
BELA_T01_03_2002,20020710,Bering Land Bridge National Preserve,T1,65.42919,-164.10402,Lower Kuzitrin,35,-9999,-9999,riverine,2,354,Fmoa,NA,"Fluvial, bar",Ripples,3,Seasonally Flooded,-150,No,Well drained,Moist,-9999,-9999,No,-9999,-9999,5.5,-9999,50,5.5,50,c,112,NA,0,0,Sandy,-9999,-9999,0,0,200,No,No,Yes,-9999,Pit,Epct,"Oxyaquic Gelorthents-Oxyaquic Cryopsamments, sandy-gravelly",Hgdl,BP,NA,NA,Salix alaxensis-Epilobium latifolium,Salix alaxensis-Epilobium latifolium,RSNMGM-ELYMOL,soil-poa-elymol-fesrub-agrmac-arttil-astsib-descae,N,Chemistry,No,Yes,No,4,Riverine Barrens,Riverine Gravelly Moist Circumalkaline Barrens,Riverine Barrens,Partially Vegetated,Riverine Gravelly Barrens and Shrublands,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,2,0,20,0,2,0,0,15,10,70,0,NA,"Elymus or Agropyron?, soil has interbedded silty layers","TH, Mark Torre Jorgenson",Mark Torre Jorgenson,"New class, too small; pH forced into CN, cutpoint problem to be consistent with CN class","ABR Inc., Fairbanks, AK"
BELA_T01_04_2002,20020710,Bering Land Bridge National Preserve,T1,65.42906,-164.10394,Lower Kuzitrin,25,5,79,riverine,1,0,Fmoa,NA,"Fluvial, bar",Undifferentiated mounds (distinct),20,Seasonally Flooded,-114,No,Well drained,Moist,-9999,-9999,No,-9999,-9999,5.7,-9999,50,5.7,50,c,114,NA,0,0,Sandy,-9999,-9999,0,0,200,No,No,Yes,-9999,Pit,Epct,"Fluventic Haplorthels-Typic Gelorthents, loamy",Stow,TS,NA,NA,Salix alaxensis-Aster sibiricus-Artemesia tilsii,Salix alaxensis-Aster sibiricus,RSNMTS-SALALA,salala-salarb-calcan-arttil-astsib-fesrub-elymol,Y,No,No,Yes,No,4,Riverine Moist Willow Tall Shrub,Riverine Loamy Moist Alder or Willow Tall Shrub,Riverine Alder or Willow Tall Shrub,Alder or Willow Tall Shrub,Riverine Gravelly Barrens and Shrublands,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,25,40,0,20,0,5,0,0,20,5,5,0,NA,NA,"TH, Mark Torre Jorgenson",Mark Torre Jorgenson,"Mapped ok, willow; soil has interbedded silty layers","ABR Inc., Fairbanks, AK"
BELA_T01_05_2002,20020710,Bering Land Bridge National Preserve,T1,65.42873,-164.10374,Lower Kuzitrin,36,10,314,riverine,0,Too flat to determine,Fmoi,NA,"Fluvial, bar",Hummocks (mineral cored),40,Seasonally Flooded,-50,No,Moderately well-drained,Moist,-9999,-9999,No,5.9,60,5.4,-9999,60,5.9,60,c,52,NA,6,6,Loamy,0,-9999,0,0,200,No,No,Yes,-9999,Pit,Goaf,"Fluventic Haplorthels-Typic Gelorthents, loamy",Slcw,LS,NA,NA,NA,Betula nana-Salix planifolia ssp. pulchra-Pyrola grandiflora,RLNMLS-SALARB,salarb-calcan-betnan-salnip-salpul-vaculi-salala,Y,No,No,Yes,No,4,Riverine Birch-Willow Low Shrub,Riverine Loamy Moist Circumacidic Birch-Willow Low Shrub,Riverine Birch-Willow Low Shrub,Dwarf Birch-Willow Low Shrub,Riverine Loamy Meadows and Shrublands,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,3,80,0,20,0,5,5,0,50,5,0,0,NA,NA,"TH, Mark Torre Jorgenson",Mark Torre Jorgenson,"Mapped ok, change Surface Organic to 6 cm based on photograph; soil with redox depletions","ABR Inc., Fairbanks, AK"
BELA_T01_06_2002,20020710,Bering Land Bridge National Preserve,T1,65.42819,-164.10306,Lower Kuzitrin,37,10,314,riverine,0,Too flat to determine,Fmoi,NA,Interfluve or Flat Bank,Hummocks (mineral cored),30,Saturated,-26,No,Somewhat poorly drained,Moist,-9999,-9999,No,-9999,-9999,6.1,-9999,80,6.1,80,c,25,NA,6,6,Loamy,0,-9999,0,0,200,Yes,No,Yes,-9999,Pit,Goaf,"Fluventic Haplorthels-Typic Gelorthents, loamy",Slcbe,LS,NA,NA,Betula nana-Salix planifolia ssp. pulchra-Pyrola grandiflora,Betula nana-Salix planifolia ssp. pulchra-Pyrola grandiflora,RLNMLS-BET-VAC,betnan-vaculi-Moss-salpul-calcan-poaarc-petfri,Y,No,No,Yes,No,4,Riverine Birch-Willow Low Shrub,Riverine Loamy Moist Circumacidic Birch-Willow Low Shrub,Riverine Birch-Willow Low Shrub,Dwarf Birch-Willow Low Shrub,Riverine Loamy Meadows and Shrublands,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,80,0,5,0,3,15,1,30,10,0,0,NA,NA,"TH, Mark Torre Jorgenson",Mark Torre Jorgenson,"Mapped willow, not willow; interbedded Oi/sil at depth","ABR Inc., Fairbanks, AK"
BELA_T01_07_2002,20020710,Bering Land Bridge National Preserve,T1,65.42741,-164.10045,Lower Kuzitrin,36,10,314,lowland,0,Too flat to determine,Fmob,NA,Interfluve or Flat Bank,"Low-centered, low relief, low-density",25,Saturated,-8,Yes,Somewhat poorly drained,Wet,-9999,-9999,Yes,5.1,50,-9999,-9999,-9999,5.1,50,a,25,NA,25,25,Organic rich,0,-9999,0,0,200,No,No,No,-9999,Pit,Ghft,"Typic Hemistels-Typic Fibristels, dysic",Hgwsmb,BM,NA,NA,Sphagnum sp.-Andromeda polifolia-Betula nana,Ledum decumbens-Vaccinium vitis-idaea-fruticose/foliose lichen,LOAWSMP-CARRAR,Moss-carrar-leddec-caraqu-empnig-vacvit-betnan,Y,No,No,Yes,No,4,Lowland Birch-Ericaceous Low Shrub,Lowland Moist Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Birch-Ericaceous-Willow Low Shrub,Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Organic-rich Shrub and Forests,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,20,15,0,1,95,1,10,5,0,0,NA,NA,"TH, Mark Torre Jorgenson",Mark Torre Jorgenson,"Mapped as Riverine?, borderline shrubby, overlaps slobb on DCA","ABR Inc., Fairbanks, AK"
BELA_T02_01_2002,20020714,Bering Land Bridge National Preserve,T2,65.47233,-164.1520667,Upper Kuzitrin lowlands,54,10,314,lowland,0,Too flat to determine,Of,Ltnu,"Basin, Drained",Non-patterned,10,Saturated,0,Yes,Very poorly drained,Wet,-9999,-9999,Yes,5.4,40,-9999,-9999,-9999,5.4,40,a,25,NA,25,25,Organic rich,0,-9999,0,0,200,No,No,No,-9999,Plug,Ghft,"Typic Hemistels-Typic Fibristels, dysic",Hgwsmb,BM,NA,NA,Eriophorum angustifolium-Carex aquatilis-Salix planifolia ssp. pulchra,Carex aquatilis-Salix planifolia ssp. pulchra,LOAWSMP-ERIANG,Moss-eriang-potpal-calcan-erisch-petfri-salfus,Y,No,No,Yes,No,4,Lowland Sedge-Willow Fen,Lowland Circumacidic Sedge Fen,Lowland Sedge Fen,Sedge Fen,Lowland Bogs and Fens,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,5,5,30,0,5,80,0,30,10,0,0,NA,Lowland lacustrine problem,"Jennifer S. Mitchell, Mark Torre Jorgenson",Mark Torre Jorgenson,Review-lowland dwarf scrub bog or Hgwsht?,"ABR Inc., Fairbanks, AK"
BELA_T02_02_2002,20020714,Bering Land Bridge National Preserve,T2,65.47127,-164.1553,Upper Kuzitrin lowlands,55,10,314,lacustrine,0,Too flat to determine,Ltnc,NA,"Basin, Drained",Non-patterned,15,Saturated,-9999,Yes,Moderately well-drained,Moist,-9999,-9999,Yes,-9999,-9999,5.8,-9999,50,5.8,50,c,25,NA,5,5,Loamy,0,-9999,0,0,200,No,No,No,-9999,Plug,Goat,"Typic Aquorthels, loamy",Hgmbh,GM,NA,NA,Calamagrostis canadensis-Poa arctica,Calamagrostis canadensis-Potentilla palustris,PLNMGM-CAL-PET,Moss-calcan-petfri-poaarc-polacu-arttil-rumarc,Y,No,No,Yes,No,4,Lacustrine Bluejoint Meadow,NA,NA,NA,Lacustrine Loamy Barrens Meadows and Shrublands,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,40,0,20,20,0,40,20,0,0,NA,NA,"Jennifer S. Mitchell, Mark Torre Jorgenson",Mark Torre Jorgenson,"New class-mapable?, plot too small","ABR Inc., Fairbanks, AK"
BELA_T02_03_2002,20020714,Bering Land Bridge National Preserve,T2,65.47111667,-164.15535,Upper Kuzitrin lowlands,57,10,314,lacustrine,0,Too flat to determine,Wlsi,Ltn,Water bodies,Water,0,Permanently Flooded,40,Yes,Flooded,Aquatic,-9999,-9999,Unknown,6.4,80,-9999,-9999,-9999,6.4,80,c,-9999,NA,-9999,-9999,Water,-9999,-9999,-9999,-9999,-9999,Unknown,No,No,-9999,NA,W,Freshwater,Hgwfg,GE,NA,NA,Arctophila fulva-Hippuris vulgaris,Arctophila fulva-Hippuris vulgaris,P_NAGA-ARCFUL,arcful-calnat-calpal-hipvul-myrspi-ranhyp-potam,Y,No,No,Yes,No,4,Lacustrine Pendent Grass Marsh,NA,NA,NA,Water,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,20,0,20,0,0,0,0,0,100,NA,Alternative vegetation type is Hafa,"Jennifer S. Mitchell, Mark Torre Jorgenson",Mark Torre Jorgenson,New class-plot too small,"ABR Inc., Fairbanks, AK"
BELA_T02_04_2002,20020714,Bering Land Bridge National Preserve,T2,65.47276667,-164.15655,Upper Kuzitrin lowlands,55,10,314,lowland,0,Too flat to determine,Of,Ltn,"Basin, Drained",Non-patterned,10,Permanently Flooded,4,Yes,Very poorly drained,Wet,-9999,-9999,Yes,5.9,40,-9999,-9999,-9999,5.9,40,c,32,NA,32,32,Organic rich,0,-9999,0,0,200,No,No,No,-9999,Plug,Ghft,"Typic Hemistels-Typic Fibristels, dysic",Hgwst,BM,NA,NA,Carex chordorrhiza-Carex aquatilis,Carex chordorrhiza-Carex aquatilis,LONWSMP-CARAQU,Moss-caraqu-carcho-salfus-eriang-erisch-calcan,Y,No,No,Yes,No,4,Lowland Sedge Fen,Lowland Circumacidic Sedge Fen,Lowland Sedge Fen,Sedge Fen,Lowland Bogs and Fens,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,1,3,20,0,1,30,0,70,40,0,10,NA,Sedge bog,"Jennifer S. Mitchell, Mark Torre Jorgenson",Mark Torre Jorgenson,Review--lowland dwarf scrub bog?,"ABR Inc., Fairbanks, AK"
