"","...1","removed","freqchal","pvi2","obama","cperhs","sexexp","book","author","state","antifamily","cmedin","cperba","days2000","occult","language","homosexuality","violence","booktitle"
"1",30,1,0,-6.1,0,1.43804213135068,1,6,"Orwell, George","AZ",0,3490.5,-0.52372986369269,847,0,0,0,0,"1984"
"2",526,1,1,-0.7,0,3.43804213135068,0,8,"Cormier, Robert","OH",0,2469,-2.92372986369269,2848,0,0,0,0,"8+1"
"3",320,0,0,-10.4,1,-5.46195786864932,1,9,"Stone, Tanya Lee","KY",0,-5880.5,-6.92372986369269,3286,0,1,0,0,"A Bad Boy Can Be Good for a Girl"
"4",447,0,0,-4.3,0,-1.46195786864932,0,10,"Hersey, John","NC",0,-310,-1.52372986369269,1672,0,1,0,0,"A Bell for Adano"
"5",826,1,0,11.2,1,-1.56195786864932,1,12,"Pelzer, Dave","RI",0,8141,1.57627013630731,3707,0,0,0,0,"A Child Called ""It"""
"6",104,0,0,-0.2,1,7.33804213135069,1,13,"Gloeckner, Phoebe","CO",0,10346.5,8.67627013630731,3490,0,0,0,1,"A Child's Life"
"7",484,1,0,10.2,0,-0.461957868649321,1,15,"Peck, Robert Newton","NY",0,5007.5,3.37627013630731,480,0,1,0,1,"A Day No Pigs Would Die"
"8",857,0,0,-8.7,0,-3.66195786864931,0,16,"Rice, Christopher","TN",0,-2995.5,-4.42372986369269,355,0,0,0,0,"A Density of Souls"
"9",686,0,0,2,0,2.33804213135069,1,17,"Tyree, Omar","PA",0,4218,-1.62372986369269,2093,0,1,0,0,"A Do Right Man"
"10",265,0,0,7.7,1,1.83804213135069,0,18,"Ayer, Eleanor H.","IL",0,6489.5,2.07627013630731,3319,0,0,0,1,"A Firestorm Unleashed"
"11",361,0,0,3.8,1,3.83804213135069,1,23,"Rochelle, Warren","MI",0,2966,-2.22372986369269,3330,1,1,0,0,"A Harvest of Changelings"
"12",215,0,0,1,0,6.53804213135068,1,29,"Hill, Ernest","IA",1,3921.5,-2.82372986369269,0,0,1,0,1,"A Life for a Life"
"13",572,0,0,4,0,5.53804213135068,1,35,"Gould, Judith","OR",0,1274.5,1.07627013630731,990,0,0,0,1,"A Moment in Time"
"14",925,0,0,-7.9,0,-4.36195786864931,1,40,"Irving, John","WV",0,-7290,-9.22372986369269,180,0,1,0,0,"A Prayer for Owen Meany"
"15",101,1,0,-0.2,0,7.33804213135069,1,42,"Johnson, Anthony Godby","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"A Rock and a Hard Place"
"16",705,0,0,2,1,2.33804213135069,0,45,"Knowles, John","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"A Separate Peach"
"17",660,0,0,4,0,5.53804213135068,0,46,"Casteneda, Carlos","OR",0,1274.5,1.07627013630731,180,0,0,0,0,"A Separate Reality"
"18",197,0,0,-1.8,0,0.33804213135069,0,49,"Clinton, Cathryn","FL",0,372,-1.72372986369269,1473,0,0,0,0,"A Stone In My Hand"
"19",131,0,0,-0.2,1,7.33804213135069,0,51,"Hamilton, Laurell K.","CO",1,10346.5,8.67627013630731,3490,0,0,0,0,"A Stroke of Midnight"
"20",706,0,0,2,1,2.33804213135069,0,53,"Hosseini, Khaled","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"A Thousand Splendid Suns"
"21",454,0,0,-10.4,0,4.33804213135069,1,55,"Grisham, John","ND",0,-813,-2.02372986369269,1800,0,0,0,1,"A Time to Kill"
"22",100,1,0,-0.2,0,7.33804213135069,0,86,"de Saint Phalle, Niki","CO",0,10346.5,8.67627013630731,1443,0,0,0,0,"AIDS: You Can't Catch it Holding Hands"
"23",14,0,0,-13.2,1,-4.26195786864932,0,63,"Kehret, Peg","AL",0,-5054,-5.02372986369269,3240,0,0,0,0,"Abduction"
"24",231,1,0,-17.4,0,5.13804213135069,1,67,"Balducci, David","ID",0,3194,-2.32372986369269,720,0,1,0,1,"Absolute Power"
"25",512,0,0,-0.7,1,3.43804213135068,0,68,"Gaiman, Neil","OH",1,2469,-2.92372986369269,3695,0,1,0,0,"Absolute Sandman Vol. 1 and Vol. 2"
"26",414,1,0,-3.1,1,1.73804213135068,0,69,"Alexie, Sherman","MO",0,1279.5,-2.42372986369269,3784,0,1,0,1,"Absolutely True Diary of a Part-Time Indian, The"
"27",707,0,0,2,1,2.33804213135069,0,70,"LaRochelle, David","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Absolutely, Positively Not"
"28",708,0,0,2,1,2.33804213135069,0,75,"Twain, Mark","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Adventures of Huckleberry Finn, The"
"29",550,0,0,-16.9,1,1.03804213135068,0,77,"Beard, George","OK",0,-3087.5,-3.72372986369269,3261,0,1,0,0,"Adventures of Super Diaper Baby, The"
"30",219,0,0,1,0,6.53804213135068,0,78,"Twain, Mark","IA",0,3921.5,-2.82372986369269,2770,0,1,0,0,"Adventures of Tom Sawyer, The"
"31",661,0,0,4,0,5.53804213135068,0,80,"Bell, Derrick","OR",0,1274.5,1.07627013630731,180,0,0,0,0,"Afrolantica Legacies"
"32",256,1,0,7.7,0,1.83804213135069,1,87,"Miller, Mary Beth","IL",0,6489.5,2.07627013630731,1917,0,0,0,0,"Aimee"
"33",417,1,1,-3.1,0,1.73804213135068,0,95,"Naylor, Phyllis Reynolds","MO",0,1279.5,-2.42372986369269,990,0,0,1,0,"Alice (series)"
"34",709,0,1,2,1,2.33804213135069,0,100,"Naylor, Phyllis Reynolds","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Alice On Her Way"
"35",494,0,1,10.2,0,-0.461957868649321,1,100,"Naylor, Phyllis Reynolds","NY",0,5007.5,3.37627013630731,2807,0,0,0,0,"Alice on Her Way"
"36",32,0,1,-6.1,0,1.43804213135068,1,101,"Naylor, Phyllis Reynolds","AZ",0,3490.5,-0.52372986369269,1455,0,0,0,0,"Alice on the Outside"
"37",683,1,1,2,0,2.33804213135069,1,102,"Naylor, Phyllis Reynolds","PA",0,4218,-1.62372986369269,1201,0,0,0,0,"Alice the Brave"
"38",710,0,0,2,1,2.33804213135069,0,109,"Warren, Robert Penn","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"All the King's Men"
"39",580,0,0,4,1,5.53804213135068,0,115,"Demarest, Chris L.","OR",0,1274.5,1.07627013630731,3600,0,0,0,0,"Alpha, Bravo, Charlie:  The Military Alphabet"
"40",63,1,0,7.4,0,-2.76195786864932,1,118,"Rodriguez, Luis","CA",0,10119,2.57627013630731,1749,0,0,0,1,"Always Running"
"41",120,0,0,-0.2,0,7.33804213135069,1,122,"James, Jamie","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Am I Weird or Is This Normal?"
"42",132,0,0,-0.2,0,7.33804213135069,0,127,"Steig, William","CO",0,10346.5,8.67627013630731,1800,0,0,0,1,"Amazing Bone, The"
"43",207,0,0,-6.8,0,-0.961957868649321,0,133,"Stewart, Jon","GA",0,2239.5,0.276270136307311,3080,0,1,0,0,"America (The Book):  A Citizen's Guide to Democracy Inaction"
"44",431,0,0,-7.1,0,7.63804213135069,0,134,"Frank, E.R.","MT",0,-6482,0.376270136307308,1703,0,1,0,0,"America:  A Novel"
"45",906,0,0,5,0,7.53804213135068,0,135,"Haddix, Margaret Peterson","WA",1,9907.5,3.67627013630731,1347,0,0,0,0,"Among the Betrayed"
"46",711,0,0,2,1,2.33804213135069,0,137,"Dreiser, Theodore","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"An American Tragedy"
"47",189,1,1,-1.8,0,0.33804213135069,0,140,"Lowry, Lois","FL",0,372,-1.72372986369269,1917,0,0,0,0,"Anastasia Again!"
"48",217,0,1,1,1,6.53804213135068,0,143,"Parnell, Peter and Justin Richardson","IA",1,3921.5,-2.82372986369269,3197,0,0,1,0,"And Tango Makes Three"
"49",701,1,1,2,0,2.33804213135069,0,144,"Schwartz, Alvin","PA",0,4218,-1.62372986369269,240,0,0,0,1,"And the Green Grass Grew All Around"
"50",533,0,0,-0.7,0,3.43804213135068,0,147,"Brown, Dan","OH",0,2469,-2.92372986369269,2479,0,0,0,0,"Angels & Demons"
"51",869,0,0,-1.7,0,1.93804213135068,0,148,"Rennison, Louise","VA",0,11296,5.47627013630731,2387,0,0,0,0,"Angus, Thongs, and Full Frontal Snogging"
"52",603,0,0,4,0,5.53804213135068,0,151,"Napier, Susan","OR",0,1274.5,1.07627013630731,1426,0,0,0,0,"Anime from Akira to Princess Mononoke"
"53",712,0,0,2,1,2.33804213135069,0,155,"Peck, Richard","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Are You In the House Alone?"
"54",133,0,0,-0.2,0,7.33804213135069,0,158,"Bellesiles, Michael","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Arming America"
"55",908,1,0,5,0,7.53804213135068,0,159,"Byam, Michelle","WA",1,9907.5,3.67627013630731,315,0,0,0,1,"Arms and Armor"
"56",591,0,0,4,0,5.53804213135068,0,160,"Adler, Sabine","OR",0,1274.5,1.07627013630731,1924,0,0,0,0,"Art for Lovers"
"57",713,0,0,2,1,2.33804213135069,0,165,"Faulkner, William","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"As I Lay Dying"
"58",281,0,0,7.7,0,1.83804213135069,0,167,"Humphries, Barry","IL",0,6489.5,2.07627013630731,1119,0,0,0,0,"Ask Dame Edna"
"59",89,0,0,-0.2,1,7.33804213135069,1,166,"Arellano, Gustavo","CO",0,10346.5,8.67627013630731,3490,0,1,0,0,"Ask a Mexican"
"60",209,1,0,-6.8,0,-0.961957868649321,0,170,"Lyga, Barry","GA",0,2239.5,0.276270136307311,2917,0,1,0,0,"Astonishing Adventures of Fanboy and Goth Girl, The"
