year,age,race,sex,marital,educ,degree,sibs,agekdbrn,coninc,region,partyid,wrkstat,hrs1,earnrs,happy,health,relig,attend,postlife,socrel,news,tvhours,satjob,class,satfin,polviews,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,fear,owngun,hunt,gunlaw,grass,courts,fepol,fefam,fehire,vote_last_pres_election
1998,67,white,male,married,10,less than high school,4,27,NA,northeast,not very strong republican,retired,NA,1,very happy,good,catholic,every week,yes,once or twice a week,every day,5,iap,working class,more or less satisfied,"moderate, middle of the road",hardly any,only some,only some,a great deal,only some,hardly any,a great deal,only some,a great deal,a great deal,only some,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,don't know,disagree,iap,voted
2018,41,white,male,separated,9,less than high school,3,NA,1402,midwest,not very strong democrat,"unemployed, laid off, looking for work",NA,1,not too happy,fair,protestant,never,yes,iap,iap,NA,very dissatisfied,lower class,not satisfied at all,"moderate, middle of the road",only some,only some,a great deal,a great deal,only some,only some,hardly any,a great deal,a great deal,a great deal,a great deal,hardly any,a great deal,yes,no,"no, neither r nor spouse hunts",oppose,should be legal,not harshly enough,iap,iap,iap,did not vote
1998,26,white,male,never married,10,high school,1,17,25412,south,"independent, close to democrat",working full time,40,1,not too happy,fair,catholic,about once or twice a year,don't know,iap,iap,2,a little dissatisfied,working class,not satisfied at all,"moderate, middle of the road",only some,only some,only some,hardly any,hardly any,only some,hardly any,only some,only some,hardly any,only some,only some,only some,no,no,"no, neither r nor spouse hunts",favor,should not be legal,too harshly,iap,iap,iap,did not vote
2018,34,white,female,never married,15,high school,2,NA,11391.25,west,other party,working part time,25,1,not too happy,fair,catholic,never,yes,iap,iap,NA,moderately satisfied,middle class,not satisfied at all,liberal,only some,a great deal,only some,a great deal,hardly any,only some,only some,only some,hardly any,hardly any,a great deal,hardly any,a great deal,yes,no,"no, neither r nor spouse hunts",oppose,should be legal,too harshly,iap,iap,iap,voted
1998,21,white,female,never married,15,associate/junior college,0,NA,9630,west,"independent (neither, no response)",working part time,15,1,pretty happy,good,none,never,no,several times a year,once a week,3,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",only some,only some,hardly any,a great deal,hardly any,hardly any,hardly any,only some,only some,only some,only some,hardly any,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,did not vote
2018,31,other,male,widowed,16,bachelor's,NA,NA,26287.5,midwest,"independent, close to democrat",working full time,42,1,pretty happy,iap,none,never,don't know,about once a year,never,1,very satisfied,middle class,not satisfied at all,slightly liberal,hardly any,hardly any,hardly any,only some,hardly any,a great deal,only some,only some,only some,only some,a great deal,only some,a great deal,iap,iap,iap,iap,should be legal,too harshly,disagree,strongly disagree,strongly agree,voted
1998,20,black,female,never married,12,high school,1,NA,NA,south,not very strong democrat,working part time,29,3,pretty happy,good,protestant,every week,yes,iap,iap,4,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",a great deal,only some,a great deal,a great deal,only some,a great deal,only some,a great deal,a great deal,a great deal,only some,only some,a great deal,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
1998,42,black,female,divorced,15,high school,5,21,29424,south,strong democrat,working part time,20,1,no answer,good,protestant,about once a month,yes,almost daily,once a week,4,very satisfied,working class,not satisfied at all,conservative,only some,only some,only some,only some,hardly any,only some,only some,only some,a great deal,a great deal,only some,hardly any,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
2018,30,white,female,divorced,9,high school,4,18,5257.5,south,"independent (neither, no response)",working full time,60,1,pretty happy,good,protestant,about once a month,yes,several times a year,never,0,very dissatisfied,lower class,not satisfied at all,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"yes, respondent does",oppose,iap,not harshly enough,disagree,strongly disagree,iap,don't know
2018,44,other,male,divorced,12,high school,2,30,22782.5,west,"independent, close to democrat",working full time,43,1,pretty happy,excellent,catholic,about once or twice a year,yes,several times a year,a few times a week,3,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,agree,voted
2018,77,white,female,divorced,12,high school,2,20,13143.75,south,"independent, close to democrat",working part time,25,1,pretty happy,good,protestant,less than once a year,yes,several times a month,once a week,6,moderately satisfied,working class,not satisfied at all,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,voted
2018,68,white,male,married,12,high school,NA,28,NA,midwest,"independent (neither, no response)",other,NA,1,not too happy,iap,christian,don't know,yes,about once a year,never,6,iap,working class,not satisfied at all,"moderate, middle of the road",hardly any,hardly any,hardly any,only some,hardly any,only some,only some,only some,only some,hardly any,only some,hardly any,only some,iap,iap,iap,iap,should be legal,about right,agree,agree,neither agree nor disagree,voted
