course_id,avg_rating,division,dept_num,dept_name
AS.362.311,4.8,AS,362,AFRICANA STUDIES
AS.362.301,4.4,AS,362,AFRICANA STUDIES
AS.362.123,4,AS,362,AFRICANA STUDIES
AS.362.111,4,AS,362,AFRICANA STUDIES
AS.362.113,4.53,AS,362,AFRICANA STUDIES
AS.362.216,4.25,AS,362,AFRICANA STUDIES
AS.070.388,4.89,AS,070,ANTHROPOLOGY
AS.070.465,4.43,AS,070,ANTHROPOLOGY
AS.070.334,4.71,AS,070,ANTHROPOLOGY
AS.070.135,4,AS,070,ANTHROPOLOGY
AS.070.145,4.47,AS,070,ANTHROPOLOGY
AS.070.299,4.27,AS,070,ANTHROPOLOGY
AS.070.373,4.5,AS,070,ANTHROPOLOGY
AS.070.419,3.75,AS,070,ANTHROPOLOGY
AS.070.317,2.71,AS,070,ANTHROPOLOGY
AS.070.214,3.63,AS,070,ANTHROPOLOGY
AS.070.207,4.45,AS,070,ANTHROPOLOGY
AS.070.210,4.02,AS,070,ANTHROPOLOGY
AS.070.209,3.8,AS,070,ANTHROPOLOGY
AS.070.374,4.5,AS,070,ANTHROPOLOGY
AS.371.162,4.58,AS,371,ART
AS.371.140,4.57,AS,371,ART
AS.371.303,4.38,AS,371,ART
AS.371.180,4,AS,371,ART
AS.371.152,4.5,AS,371,ART
AS.371.155,4.8,AS,371,ART
AS.371.150,5,AS,371,ART
AS.371.165,4.78,AS,371,ART
AS.371.178,4.64,AS,371,ART
AS.371.133,4.67,AS,371,ART
AS.371.133,4.92,AS,371,ART
AS.371.151,4.57,AS,371,ART
AS.371.131,4.64,AS,371,ART
AS.371.307,5,AS,371,ART
AS.290.304,4.14,AS,290,BEHAVIORAL BIOLOGY
AS.290.101,3.49,AS,290,BEHAVIORAL BIOLOGY
AS.290.420,3.76,AS,290,BEHAVIORAL BIOLOGY
AS.290.490,4.9,AS,290,BEHAVIORAL BIOLOGY
AS.020.347,4.11,AS,020,BIOLOGY
AS.020.375,4.79,AS,020,BIOLOGY
AS.020.305,4.14,AS,020,BIOLOGY
AS.020.315,4.75,AS,020,BIOLOGY
AS.020.115,4.22,AS,020,BIOLOGY
AS.020.306,3.96,AS,020,BIOLOGY
AS.020.316,2.53,AS,020,BIOLOGY
AS.020.320,4.43,AS,020,BIOLOGY
AS.020.374,4.14,AS,020,BIOLOGY
AS.020.377,4.6,AS,020,BIOLOGY
AS.020.162,4.88,AS,020,BIOLOGY
AS.020.363,3.47,AS,020,BIOLOGY
AS.020.340,3.04,AS,020,BIOLOGY
AS.020.355,4.41,AS,020,BIOLOGY
AS.020.152,4.62,AS,020,BIOLOGY
AS.020.152,4.1,AS,020,BIOLOGY
AS.020.154,4.07,AS,020,BIOLOGY
AS.020.319,4.72,AS,020,BIOLOGY
AS.020.365,4.4,AS,020,BIOLOGY
AS.020.312,4.05,AS,020,BIOLOGY
AS.020.442,4.73,AS,020,BIOLOGY
AS.020.136,4.75,AS,020,BIOLOGY
AS.020.137,4.94,AS,020,BIOLOGY
AS.020.344,3.55,AS,020,BIOLOGY
AS.250.411,4.6,AS,250,BIOPHYSICS
AS.250.316,4.44,AS,250,BIOPHYSICS
AS.250.310,5,AS,250,BIOPHYSICS
AS.250.131,4.35,AS,250,BIOPHYSICS
AS.250.265,4.56,AS,250,BIOPHYSICS
AS.250.106,3.56,AS,250,BIOPHYSICS
AS.250.205,4.32,AS,250,BIOPHYSICS
AS.250.205,4.09,AS,250,BIOPHYSICS
AS.250.320,4.83,AS,250,BIOPHYSICS
AS.250.302,4.69,AS,250,BIOPHYSICS
AS.250.383,3.29,AS,250,BIOPHYSICS
AS.250.253,4.07,AS,250,BIOPHYSICS
AS.250.253,3.93,AS,250,BIOPHYSICS
AS.250.381,3.48,AS,250,BIOPHYSICS
AS.375.116,4.25,AS,375,CENTER FOR LANGUAGE EDUCATION
AS.375.116,4.1,AS,375,CENTER FOR LANGUAGE EDUCATION
AS.375.302,3.25,AS,375,CENTER FOR LANGUAGE EDUCATION
AS.373.492,4.63,AS,373,CENTER FOR LANGUAGE EDUCATION
AS.373.116,4.54,AS,373,CENTER FOR LANGUAGE EDUCATION
AS.373.112,4.85,AS,373,CENTER FOR LANGUAGE EDUCATION
AS.373.416,4.67,AS,373,CENTER FOR LANGUAGE EDUCATION
AS.373.216,4.32,AS,373,CENTER FOR LANGUAGE EDUCATION
AS.373.212,3.93,AS,373,CENTER FOR LANGUAGE EDUCATION
AS.373.316,4.56,AS,373,CENTER FOR LANGUAGE EDUCATION
AS.373.314,4.67,AS,373,CENTER FOR LANGUAGE EDUCATION
AS.384.116,3.88,AS,384,CENTER FOR LANGUAGE EDUCATION
AS.384.216,4.17,AS,384,CENTER FOR LANGUAGE EDUCATION
AS.384.102,5,AS,384,CENTER FOR LANGUAGE EDUCATION
AS.378.116,4.83,AS,378,CENTER FOR LANGUAGE EDUCATION
AS.378.216,4.8,AS,378,CENTER FOR LANGUAGE EDUCATION
AS.378.316,4.78,AS,378,CENTER FOR LANGUAGE EDUCATION
AS.380.102,4.94,AS,380,CENTER FOR LANGUAGE EDUCATION
AS.380.202,4.93,AS,380,CENTER FOR LANGUAGE EDUCATION
AS.377.116,5,AS,377,CENTER FOR LANGUAGE EDUCATION
AS.377.216,5,AS,377,CENTER FOR LANGUAGE EDUCATION
AS.030.626,5,AS,030,CHEMISTRY
AS.030.103,3.54,AS,030,CHEMISTRY
AS.030.456,4.8,AS,030,CHEMISTRY
AS.030.620,4.54,AS,030,CHEMISTRY
AS.030.227,4.57,AS,030,CHEMISTRY
AS.030.204,3.86,AS,030,CHEMISTRY
AS.030.614,4.33,AS,030,CHEMISTRY
AS.030.113,4.37,AS,030,CHEMISTRY
AS.030.113,4.1,AS,030,CHEMISTRY
AS.030.212,3.79,AS,030,CHEMISTRY
AS.030.228,4.7,AS,030,CHEMISTRY
AS.030.405,4.71,AS,030,CHEMISTRY
AS.030.102,3.16,AS,030,CHEMISTRY
AS.030.102,2.95,AS,030,CHEMISTRY
AS.030.106,4.2,AS,030,CHEMISTRY
AS.030.225,4.46,AS,030,CHEMISTRY
AS.030.452,4.05,AS,030,CHEMISTRY
AS.030.630,4.86,AS,030,CHEMISTRY
AS.030.206,4.39,AS,030,CHEMISTRY
AS.030.206,4.17,AS,030,CHEMISTRY
AS.030.442,4.35,AS,030,CHEMISTRY
AS.030.302,2.38,AS,030,CHEMISTRY
AS.030.306,3.28,AS,030,CHEMISTRY
AS.030.622,3.89,AS,030,CHEMISTRY
AS.030.441,4.05,AS,030,CHEMISTRY
AS.030.451,4.57,AS,030,CHEMISTRY
AS.030.601,4.73,AS,030,CHEMISTRY
AS.040.420,4.89,AS,040,CLASSICS
AS.040.108,4.1,AS,040,CLASSICS
AS.040.206,4.17,AS,040,CLASSICS
AS.040.208,4.6,AS,040,CLASSICS
AS.040.232,4.58,AS,040,CLASSICS
AS.040.102,4.39,AS,040,CLASSICS
AS.050.206,4,AS,050,COGNITIVE SCIENCE
AS.050.315,4.24,AS,050,COGNITIVE SCIENCE
AS.050.360,3.17,AS,050,COGNITIVE SCIENCE
AS.050.107,3.88,AS,050,COGNITIVE SCIENCE
AS.050.203,3.97,AS,050,COGNITIVE SCIENCE
AS.050.325,4,AS,050,COGNITIVE SCIENCE
AS.050.320,4.5,AS,050,COGNITIVE SCIENCE
AS.271.360,4.03,AS,271,EARTH AND PLANETARY SCIENCE
AS.271.405,4.6,AS,271,EARTH AND PLANETARY SCIENCE
AS.271.401,3.72,AS,271,EARTH AND PLANETARY SCIENCE
AS.271.403,3.56,AS,271,EARTH AND PLANETARY SCIENCE
AS.270.113,4.8,AS,270,EARTH AND PLANETARY SCIENCE
AS.270.114,4.33,AS,270,EARTH AND PLANETARY SCIENCE
AS.270.205,4.75,AS,270,EARTH AND PLANETARY SCIENCE
AS.271.107,4.39,AS,271,EARTH AND PLANETARY SCIENCE
AS.270.325,5,AS,270,EARTH AND PLANETARY SCIENCE
AS.270.331,4.56,AS,270,EARTH AND PLANETARY SCIENCE
AS.270.312,4.6,AS,270,EARTH AND PLANETARY SCIENCE
AS.270.224,4.11,AS,270,EARTH AND PLANETARY SCIENCE
AS.270.308,3.75,AS,270,EARTH AND PLANETARY SCIENCE
AS.270.332,4.5,AS,270,EARTH AND PLANETARY SCIENCE
AS.271.305,3.2,AS,271,EARTH AND PLANETARY SCIENCE
AS.271.402,4.7,AS,271,EARTH AND PLANETARY SCIENCE
AS.310.230,3.57,AS,310,EAST ASIAN STUDIES
AS.310.340,4.24,AS,310,EAST ASIAN STUDIES
AS.310.200,4.52,AS,310,EAST ASIAN STUDIES
AS.310.316,4.4,AS,310,EAST ASIAN STUDIES
AS.310.404,4.18,AS,310,EAST ASIAN STUDIES
AS.310.222,4.76,AS,310,EAST ASIAN STUDIES
AS.180.263,3.9,AS,180,ECONOMICS
AS.180.334,3.88,AS,180,ECONOMICS
AS.180.391,3.86,AS,180,ECONOMICS
AS.180.309,4.67,AS,180,ECONOMICS
AS.180.102,3.16,AS,180,ECONOMICS
AS.180.203,4.29,AS,180,ECONOMICS
AS.180.248,3.92,AS,180,ECONOMICS
AS.180.390,4.33,AS,180,ECONOMICS
AS.180.315,4.27,AS,180,ECONOMICS
AS.180.285,5,AS,180,ECONOMICS
AS.180.351,4.33,AS,180,ECONOMICS
AS.180.336,4.42,AS,180,ECONOMICS
AS.180.302,3.49,AS,180,ECONOMICS
AS.180.368,4.26,AS,180,ECONOMICS
AS.180.244,4.07,AS,180,ECONOMICS
AS.180.210,4.26,AS,180,ECONOMICS
AS.180.338,4.82,AS,180,ECONOMICS
AS.180.238,3.67,AS,180,ECONOMICS
AS.180.361,4.47,AS,180,ECONOMICS
AS.180.389,4.5,AS,180,ECONOMICS
AS.180.214,4.54,AS,180,ECONOMICS
AS.180.365,4.67,AS,180,ECONOMICS
AS.060.327,4.33,AS,060,ENGLISH
AS.060.210,4.38,AS,060,ENGLISH
AS.060.342,4.83,AS,060,ENGLISH
AS.060.114,4.55,AS,060,ENGLISH
AS.060.114,4.18,AS,060,ENGLISH
AS.060.114,4.69,AS,060,ENGLISH
AS.060.114,4.07,AS,060,ENGLISH
AS.060.114,4.67,AS,060,ENGLISH
AS.060.114,4.75,AS,060,ENGLISH
AS.060.114,4.73,AS,060,ENGLISH
AS.060.114,4.36,AS,060,ENGLISH
AS.060.114,4.2,AS,060,ENGLISH
AS.060.114,4.63,AS,060,ENGLISH
AS.060.114,4.67,AS,060,ENGLISH
AS.060.114,4.5,AS,060,ENGLISH
AS.060.114,4.42,AS,060,ENGLISH
AS.060.114,4.27,AS,060,ENGLISH
AS.060.114,4.47,AS,060,ENGLISH
AS.060.114,4.08,AS,060,ENGLISH
AS.060.114,4.14,AS,060,ENGLISH
AS.060.114,4.7,AS,060,ENGLISH
AS.060.114,4.6,AS,060,ENGLISH
AS.060.155,4.58,AS,060,ENGLISH
AS.060.139,4.55,AS,060,ENGLISH
AS.060.211,3.86,AS,060,ENGLISH
AS.060.100,4.05,AS,060,ENGLISH
AS.060.100,4.95,AS,060,ENGLISH
AS.060.107,3.88,AS,060,ENGLISH
AS.060.323,4.1,AS,060,ENGLISH
AS.060.388,4.45,AS,060,ENGLISH
AS.060.402,4.22,AS,060,ENGLISH
AS.060.331,4.44,AS,060,ENGLISH
AS.060.207,4.7,AS,060,ENGLISH
AS.060.129,4.89,AS,060,ENGLISH
AS.061.138,4.71,AS,061,FILM
AS.061.361,5,AS,061,FILM
AS.061.380,4.67,AS,061,FILM
AS.061.235,5,AS,061,FILM
AS.061.373,4.8,AS,061,FILM
AS.061.141,4.59,AS,061,FILM
AS.061.152,4.71,AS,061,FILM
AS.061.150,4.44,AS,061,FILM
AS.061.245,4.33,AS,061,FILM
AS.061.205,4.88,AS,061,FILM
AS.061.356,3.57,AS,061,FILM
AS.061.303,3.5,AS,061,FILM
AS.061.238,4.47,AS,061,FILM
AS.061.315,4.71,AS,061,FILM
AS.061.219,4.33,AS,061,FILM
AS.061.375,4.8,AS,061,FILM
AS.061.374,4.8,AS,061,FILM
AS.210.172,4.86,AS,210,GERMAN AND ROMANCE LANGUAGES
AS.210.301,4,AS,210,GERMAN AND ROMANCE LANGUAGES
AS.210.302,4.13,AS,210,GERMAN AND ROMANCE LANGUAGES
AS.210.302,4.43,AS,210,GERMAN AND ROMANCE LANGUAGES
AS.210.362,4.4,AS,210,GERMAN AND ROMANCE LANGUAGES
AS.210.362,4.75,AS,210,GERMAN AND ROMANCE LANGUAGES
