poisonous,cap_shape,cap_surface,gill_size
TRUE,convex,smooth,narrow
FALSE,convex,smooth,broad
FALSE,bell,smooth,broad
TRUE,convex,scaly,narrow
FALSE,convex,smooth,broad
FALSE,convex,scaly,broad
FALSE,bell,smooth,broad
FALSE,bell,scaly,broad
TRUE,convex,scaly,narrow
FALSE,bell,smooth,broad
FALSE,convex,scaly,broad
FALSE,convex,scaly,broad
FALSE,bell,smooth,broad
TRUE,convex,scaly,narrow
FALSE,convex,fibrous,broad
FALSE,sunken,fibrous,narrow
FALSE,flat,fibrous,broad
TRUE,convex,smooth,narrow
TRUE,convex,scaly,narrow
TRUE,convex,smooth,narrow
FALSE,bell,smooth,broad
TRUE,convex,scaly,narrow
FALSE,bell,scaly,broad
FALSE,bell,scaly,broad
FALSE,bell,smooth,broad
TRUE,flat,smooth,narrow
FALSE,convex,scaly,broad
FALSE,convex,scaly,broad
FALSE,flat,fibrous,narrow
FALSE,convex,smooth,narrow
FALSE,bell,smooth,broad
TRUE,convex,scaly,narrow
FALSE,convex,scaly,broad
FALSE,convex,scaly,broad
FALSE,bell,scaly,broad
FALSE,convex,fibrous,narrow
FALSE,sunken,fibrous,narrow
TRUE,convex,scaly,narrow
FALSE,convex,fibrous,narrow
FALSE,bell,smooth,broad
FALSE,bell,scaly,broad
FALSE,convex,scaly,broad
FALSE,convex,fibrous,narrow
TRUE,convex,scaly,narrow
FALSE,convex,smooth,broad
FALSE,convex,scaly,broad
FALSE,convex,scaly,broad
FALSE,convex,smooth,broad
FALSE,convex,scaly,broad
FALSE,flat,scaly,broad
FALSE,convex,scaly,broad
FALSE,convex,smooth,broad
FALSE,bell,smooth,broad
TRUE,convex,scaly,narrow
TRUE,convex,smooth,narrow
FALSE,bell,scaly,broad
FALSE,flat,fibrous,broad
FALSE,bell,smooth,broad
FALSE,convex,smooth,broad
FALSE,convex,scaly,broad
FALSE,sunken,fibrous,narrow
FALSE,bell,scaly,broad
FALSE,bell,smooth,broad
FALSE,bell,scaly,broad
FALSE,bell,scaly,broad
FALSE,flat,smooth,broad
FALSE,convex,smooth,broad
FALSE,flat,scaly,broad
FALSE,convex,scaly,broad
FALSE,convex,fibrous,narrow
FALSE,flat,fibrous,narrow
FALSE,bell,scaly,broad
FALSE,flat,fibrous,narrow
FALSE,convex,scaly,broad
FALSE,bell,smooth,broad
FALSE,flat,smooth,narrow
FALSE,convex,smooth,narrow
FALSE,flat,scaly,broad
TRUE,convex,scaly,narrow
FALSE,flat,scaly,broad
FALSE,convex,smooth,broad
TRUE,convex,scaly,narrow
FALSE,flat,fibrous,narrow
FALSE,convex,fibrous,broad
FALSE,convex,scaly,broad
FALSE,convex,smooth,broad
FALSE,bell,smooth,broad
FALSE,convex,smooth,broad
FALSE,flat,scaly,broad
FALSE,sunken,fibrous,narrow
FALSE,convex,fibrous,narrow
FALSE,bell,smooth,broad
FALSE,convex,scaly,broad
FALSE,convex,scaly,broad
FALSE,convex,smooth,broad
FALSE,convex,smooth,broad
FALSE,flat,scaly,broad
FALSE,convex,smooth,broad
FALSE,bell,smooth,broad
FALSE,convex,scaly,broad
FALSE,convex,fibrous,broad
FALSE,bell,smooth,broad
FALSE,flat,scaly,broad
FALSE,convex,scaly,broad
FALSE,bell,scaly,broad
FALSE,convex,scaly,broad
FALSE,convex,scaly,broad
FALSE,bell,scaly,broad
FALSE,bell,scaly,broad
FALSE,convex,smooth,broad
FALSE,convex,smooth,broad
FALSE,sunken,fibrous,narrow
FALSE,convex,fibrous,narrow
FALSE,convex,smooth,broad
TRUE,convex,scaly,narrow
FALSE,convex,scaly,broad
FALSE,sunken,fibrous,narrow
FALSE,convex,scaly,broad
FALSE,convex,smooth,narrow
FALSE,sunken,fibrous,narrow
TRUE,convex,smooth,narrow
FALSE,convex,scaly,broad
TRUE,flat,scaly,narrow
FALSE,flat,smooth,broad
FALSE,convex,smooth,broad
FALSE,convex,smooth,broad
FALSE,bell,smooth,broad
FALSE,flat,fibrous,broad
FALSE,convex,smooth,broad
FALSE,bell,smooth,broad
FALSE,bell,smooth,broad
FALSE,bell,scaly,broad
FALSE,flat,smooth,narrow
FALSE,convex,scaly,broad
FALSE,flat,smooth,narrow
TRUE,convex,scaly,narrow
FALSE,flat,fibrous,narrow
FALSE,convex,scaly,broad
TRUE,convex,smooth,narrow
FALSE,bell,smooth,broad
FALSE,convex,scaly,broad
FALSE,bell,scaly,broad
FALSE,sunken,fibrous,narrow
FALSE,flat,scaly,broad
FALSE,convex,scaly,broad
FALSE,convex,fibrous,broad
FALSE,flat,fibrous,broad
FALSE,convex,scaly,broad
FALSE,bell,smooth,broad
FALSE,bell,scaly,broad
FALSE,convex,scaly,broad
FALSE,convex,smooth,broad
FALSE,convex,scaly,broad
FALSE,sunken,fibrous,narrow
FALSE,convex,smooth,narrow
FALSE,convex,scaly,broad
FALSE,bell,scaly,broad
FALSE,convex,scaly,broad
FALSE,bell,scaly,broad
FALSE,bell,smooth,broad
FALSE,bell,smooth,broad
FALSE,bell,scaly,broad
FALSE,convex,fibrous,narrow
FALSE,flat,scaly,broad
FALSE,convex,scaly,broad
FALSE,flat,scaly,broad
FALSE,bell,smooth,broad
FALSE,bell,smooth,broad
FALSE,convex,scaly,broad
FALSE,bell,smooth,broad
FALSE,convex,fibrous,narrow
FALSE,bell,smooth,broad
FALSE,convex,fibrous,narrow
FALSE,bell,scaly,broad
FALSE,flat,scaly,broad
FALSE,bell,scaly,broad
FALSE,bell,scaly,broad
FALSE,bell,scaly,broad
FALSE,convex,scaly,broad
FALSE,bell,smooth,broad
TRUE,convex,scaly,narrow
FALSE,sunken,fibrous,narrow
FALSE,flat,fibrous,narrow
FALSE,convex,smooth,broad
FALSE,flat,scaly,broad
TRUE,convex,scaly,narrow
FALSE,bell,smooth,broad
FALSE,flat,fibrous,narrow
FALSE,bell,scaly,broad
FALSE,convex,scaly,broad
FALSE,convex,fibrous,broad
FALSE,convex,smooth,narrow
FALSE,bell,smooth,broad
FALSE,flat,smooth,narrow
FALSE,convex,smooth,broad
FALSE,flat,fibrous,narrow
FALSE,bell,smooth,broad
FALSE,convex,smooth,broad
FALSE,convex,scaly,broad
FALSE,flat,smooth,narrow
FALSE,convex,scaly,broad
FALSE,bell,smooth,broad
FALSE,convex,smooth,broad
FALSE,convex,fibrous,broad
FALSE,flat,scaly,broad
TRUE,convex,smooth,narrow
FALSE,bell,smooth,broad
FALSE,bell,smooth,broad
FALSE,bell,scaly,broad
FALSE,bell,scaly,broad
FALSE,convex,smooth,broad
FALSE,bell,smooth,broad
FALSE,convex,fibrous,narrow
FALSE,convex,fibrous,narrow
FALSE,flat,scaly,broad
FALSE,bell,smooth,broad
FALSE,convex,smooth,broad
FALSE,convex,scaly,broad
FALSE,convex,scaly,broad
FALSE,sunken,fibrous,narrow
FALSE,convex,smooth,broad
TRUE,convex,smooth,narrow
FALSE,convex,scaly,broad
FALSE,flat,fibrous,narrow
FALSE,convex,scaly,broad
FALSE,bell,scaly,broad
FALSE,convex,smooth,broad
FALSE,convex,smooth,broad
TRUE,convex,scaly,narrow
FALSE,bell,smooth,broad
FALSE,convex,fibrous,narrow
TRUE,convex,scaly,narrow
FALSE,convex,scaly,broad
FALSE,flat,fibrous,narrow
FALSE,bell,smooth,broad
FALSE,convex,fibrous,narrow
FALSE,convex,scaly,broad
FALSE,bell,scaly,broad
FALSE,convex,scaly,broad
FALSE,flat,scaly,broad
FALSE,flat,scaly,broad
FALSE,convex,smooth,broad
FALSE,convex,smooth,broad
TRUE,convex,smooth,narrow
FALSE,flat,fibrous,narrow
FALSE,convex,smooth,broad
FALSE,convex,smooth,narrow
FALSE,convex,scaly,broad
FALSE,flat,scaly,broad
FALSE,convex,smooth,broad
FALSE,flat,scaly,broad
TRUE,convex,smooth,narrow
FALSE,sunken,fibrous,narrow
FALSE,bell,scaly,broad
FALSE,bell,smooth,broad
FALSE,bell,scaly,broad
FALSE,flat,fibrous,narrow
FALSE,convex,smooth,broad
FALSE,bell,scaly,broad
FALSE,bell,scaly,broad
FALSE,flat,scaly,broad
TRUE,convex,scaly,narrow
FALSE,convex,smooth,broad
FALSE,convex,scaly,broad
FALSE,flat,fibrous,narrow
FALSE,flat,fibrous,narrow
FALSE,flat,smooth,broad
FALSE,convex,scaly,broad
FALSE,bell,smooth,broad
TRUE,flat,scaly,narrow
FALSE,convex,smooth,broad
TRUE,flat,smooth,narrow
FALSE,convex,scaly,broad
FALSE,convex,scaly,broad
FALSE,flat,scaly,broad
FALSE,convex,scaly,broad
FALSE,flat,scaly,broad
FALSE,convex,scaly,broad
FALSE,flat,fibrous,broad
FALSE,convex,smooth,broad
TRUE,convex,scaly,narrow
FALSE,bell,scaly,broad
FALSE,sunken,fibrous,narrow
FALSE,convex,smooth,broad
FALSE,bell,scaly,broad
FALSE,flat,scaly,broad
FALSE,bell,scaly,broad
FALSE,bell,scaly,broad
FALSE,convex,scaly,broad
FALSE,flat,fibrous,narrow
FALSE,convex,fibrous,narrow
FALSE,bell,scaly,broad
FALSE,convex,smooth,broad
FALSE,bell,scaly,broad
FALSE,convex,smooth,broad
FALSE,bell,smooth,broad
FALSE,convex,smooth,broad
FALSE,convex,fibrous,broad
FALSE,flat,smooth,narrow
TRUE,convex,scaly,narrow
FALSE,convex,fibrous,broad
FALSE,bell,scaly,broad
FALSE,convex,smooth,narrow
FALSE,bell,scaly,broad
FALSE,convex,scaly,broad
FALSE,convex,fibrous,broad
