"number","crn","name","days","time","room","instructor","avail_max"
"AMST 102-01","10853","Reading Plays: Asian and Asian American Playwrights","M W F","9:40 - 10:40 am","THEATR 101","kt shorb","-1 / 14"
"AMST 112-01","10269","Introduction to African American Literature","M W F","9:40 - 10:40 am","MAIN 010","Daylanne English","4 / 20"
"AMST 114-01","10897","Introduction to Asian American Studies","M W F","1:10 - 2:10 pm","HUM 213","Jake Nagasawa","-1 / 16"
"AMST 120-01","10896","Hunger Games: Map and Mirror for the 21st Century","M    ","7:00 - 10:00 pm","THEATR 200","Karin Aguilar-San Juan","0 / 26"
"AMST 130-F1","10898","What’s after white empire–and is it already here?"," T R ","3:00 - 4:30 pm","HUM 214","Karin Aguilar-San Juan","0 / 18"
"AMST 160-01","10556","Culture Power Difference"," T R ","3:00 - 4:30 pm","OLRI 270","Tia-Simone Gardner","0 / 16"
"AMST 203-01","10645","Politics and Inequality: The American Welfare State","M W F","9:40 - 10:40 am","LIBR 250","Lesley Lavery","1 / 25"
"AMST 203-F1","10647","Politics and Inequality: The American Welfare State","M W F","10:50 - 11:50 am","LIBR 250","Lesley Lavery","0 / 18"
"AMST 205-01","10846","Trans Theories and Politics"," T R ","9:40 - 11:10 am","HUM 314","Myrl Beam","1 / 21"
"AMST 209-01","10427","Civil Rights in the United States","M W F","2:20 - 3:20 pm","MAIN 010","Walter Greason","0 / 25"
"AMST 225-01","10430","Native History to 1871"," T R ","9:40 - 11:10 am","MAIN 010","Katrina Phillips","1 / 20"
"AMST 229-01","10434","Narrating Black Women’s Resistance","M W F","1:10 - 2:10 pm","MAIN 010","Walter Greason","9 / 25"
"AMST 237-01","10069","Environmental Justice"," T R ","9:40 - 11:10 am","THEATR 002","Kirisitina Sailiata","-4 / 20"
"AMST 256-01","10438","Transatlantic Slave Trade","M W F","9:40 - 10:40 am","MAIN 002","Linda Sturtz","7 / 18"
"AMST 275-01","10284","African American Literature to 1900","M W F","2:20 - 3:20 pm","CARN 304","Daylanne English","-1 / 20"
"AMST 284-01","10071","Radical Reelism: Indigeneity, Politics, and Visual Culture","M W  ","7:00 - 8:30 pm","HUM 215","Kirisitina Sailiata","14 / 20"
"AMST 294-01","10073","Critical Race Studies","M W F","3:30 - 4:30 pm","HUM 213","Jake Nagasawa","1 / 16"
"AMST 294-03","10887","Monuments and Memory","M    ","7:00 - 10:00 pm","CARN 06A","Jordan Brasher","20 / 25"
"AMST 380-01","10293","Topics in African American Literature: LOVE","M W F","12:00 - 1:00 pm","MAIN 001","Daylanne English","9 / 20"
"AMST 394-01","10074","Junior Seminar: Advanced Topics in Critical Ethnic Studies"," T R ","3:00 - 4:30 pm","HUM 111","Kirisitina Sailiata","9 / 16"
"AMST 400-01","10075","Senior Seminar"," T R ","9:40 - 11:10 am","HUM 217","Duchess Harris","5 / 16"
"ANTH 111-01","10076","Cultural Anthropology: Society and Culture in Asia","M W F","8:30 - 9:30 am","CARN 206","Arjun Guneratne","10 / 35"
"ANTH 111-02","10077","Cultural Anthropology"," T R ","1:20 - 2:50 pm","THEATR 001","Hilary Chart","1 / 30"
"ANTH 112-01","10078","Archaeology and Human Origins","M W F","10:50 - 11:50 am","CARN 06B","Jane Holmstrom","0 / 24"
"ANTH 194-F1","10079","Defense Against the Dark Arts"," T R ","9:40 - 11:10 am","LIBR 250","Ron Barrett","1 / 17"
"ANTH 230-01","10080","Ethnographic Interviewing","M W F","9:40 - 10:40 am","CARN 05","Arjun Guneratne","1 / 16"
"ANTH 239-01","10081","Medical Anthropology"," T R ","1:20 - 2:50 pm","CARN 06A","Ron Barrett","4 / 30"
"ANTH 240-01","10082","Human Osteology and Paleopathology","M W F","1:10 - 2:10 pm","CARN 06B","Jane Holmstrom","3 / 16"
"ANTH 253-01","10083","Comparative Muslim Cultures","M W F","2:20 - 3:20 pm","CARN 404","Jenna Rice Rahaim","5 / 20"
"ANTH 294-01","10085","Maggots, Murder, and Media"," T R ","3:00 - 4:30 pm","CARN 06B","Jane Holmstrom","5 / 24"
"ANTH 294-02","10904","From Empathy to Action: Applied Anthropology and Human Centered Design for Social Innovation","  W  ","7:00 - 10:00 pm","LIBR 250","Allan Martinez Venegas","14 / 20"
"ANTH 335-01","10086","Global Generosity","M W F","3:30 - 4:30 pm","CARN 404","Jenna Rice Rahaim","2 / 20"
"ANTH 394-01","10889","Anthropology of Genocide"," T R ","3:00 - 4:30 pm","THEATR 101","Olga González","10 / 20"
"ANTH 405-01","10577","Ethnomusicology"," T R ","9:40 - 11:10 am","MUSIC 228","Chuen-Fung Wong","10 / 16"
"ANTH 487-01","10089","Theory in Anthropology"," T R ","9:40 - 11:10 am","OLRI 270","Olga González","14 / 20"
"ART 130-01","10888","Drawing I","M W  ","8:30 - 11:40 am","ART 302","Nicole Simpkins","1 / 15"
"ART 130-F1","10090","Drawing 1: Sketchbook Immersion"," T R ","1:20 - 4:30 pm","ART 302","Megan Vossler","0 / 15"
"ART 131-01","10091","Ceramics I"," T R ","8:00 - 11:10 am","ART 113","Erin Paradis","0 / 14"
"ART 149-01","10092","Introduction to Visual Culture","M W F","9:40 - 10:40 am","ARTCOM 102","Kari Shepherdson-Scott","1 / 25"
"ART 149-F1","11009","Introduction to Visual Culture","M W F","1:10 - 2:10 pm","ARTCOM 102","Kari Shepherdson-Scott","0 / 12"
"ART 160-01","10093","Introduction to Art History I: From Prehistory to the Medieval Period","M W F","12:00 - 1:00 pm","ARTCOM 102","Jennifer Awes Freeman","-4 / 25"
"ART 210-01","10096","Globalization and Contemporary Art"," T R ","9:40 - 11:10 am","ARTCOM 102","Christopher Tradowsky","0 / 20"
"ART 230-01","10098","Color","M W  ","8:30 - 11:40 am","ART 308","Chris Willcox","-1 / 10"
"ART 233-01","10099","Photography I"," T R ","8:00 - 11:10 am","ART 301","Mara Duvra","0 / 16"
"ART 234-01","10100","Painting I"," T R ","1:20 - 4:30 pm","ART 308","Chris Willcox","5 / 15"
"ART 235-01","10101","Sculpture I","M W F","9:40 - 11:40 am","ART 118","Lela Pierce","-1 / 15"
"ART 236-01","10102","Printmaking I"," T R ","1:20 - 4:30 pm","ART 214","Ruthann Godollei","-1 / 15"
"ART 237-01","10103","Foundations of Ceramic Art: The Domestic Object"," T R ","1:20 - 4:30 pm","ART 113","Erin Paradis","0 / 12"
"ART 239-01","10104","2-D Design"," T R ","1:20 - 4:30 pm","ART 301","Mara Duvra","3 / 16"
"ART 267-01","10105","3-D Design","M W F","1:10 - 3:10 pm","ART 118","Meagan Daus","5 / 15"
