"Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RISK_MM","RainTomorrow"
2008-02-01,"Sydney",19.5,22.4,15.6,6.2,0,NA,NA,"S","SSW",17,20,92,84,1017.6,1017.4,8,8,20.7,20.9,"Yes",6,"Yes"
2008-02-02,"Sydney",19.5,25.6,6,3.4,2.7,NA,NA,"W","E",9,13,83,73,1017.9,1016.4,7,7,22.4,24.8,"Yes",6.6,"Yes"
2008-02-03,"Sydney",21.6,24.5,6.6,2.4,0.1,NA,NA,"ESE","ESE",17,2,88,86,1016.7,1015.6,7,8,23.5,23,"Yes",18.8,"Yes"
2008-02-04,"Sydney",20.2,22.8,18.8,2.2,0,NA,NA,"NNE","E",22,20,83,90,1014.2,1011.8,8,8,21.4,20.9,"Yes",77.4,"Yes"
2008-02-05,"Sydney",19.7,25.7,77.4,NA,0,NA,NA,"NNE","W",11,6,88,74,1008.3,1004.8,8,8,22.5,25.5,"Yes",1.6,"Yes"
2008-02-06,"Sydney",20.2,27.2,1.6,2.6,8.6,NA,NA,"W","ENE",9,22,69,62,1002.7,998.6,6,6,23.8,26,"Yes",6.2,"Yes"
2008-02-07,"Sydney",18.6,26.3,6.2,5.2,5.2,NA,NA,"W","S",15,15,75,80,999,1000.3,4,7,21.7,22.3,"Yes",27.6,"Yes"
2008-02-08,"Sydney",17.2,22.3,27.6,5.8,2.1,NA,NA,"S","SE",7,15,77,61,1008.3,1007.4,7,8,18.9,21.1,"Yes",12.6,"Yes"
2008-02-09,"Sydney",16.4,20.8,12.6,4.8,3,NA,NA,"SSW","W",19,9,92,91,1006.4,1007.6,7,7,17.1,16.5,"Yes",8.8,"Yes"
2008-02-10,"Sydney",14.6,24.2,8.8,4.4,10.1,NA,NA,"W","SSE",11,20,80,53,1014,1013.4,4,2,17.2,23.3,"Yes",0,"No"
2008-02-11,"Sydney",16.4,23.9,0,6.4,8,NA,NA,"WNW","E",9,26,78,53,1017.6,1015.3,7,8,18.9,23.7,"No",0,"No"
2008-02-12,"Sydney",18.9,27.3,0,6.8,6.7,NA,NA,"N","NE",7,24,68,67,1010.7,1007.5,7,7,22.9,24.7,"No",14.4,"Yes"
2008-02-13,"Sydney",18.4,22.8,14.4,7,3.3,NA,NA,"S","S",24,30,87,70,1009.2,1011.7,8,7,20.9,21,"Yes",3,"Yes"
2008-02-14,"Sydney",16.9,24.3,3,3.2,8.7,NA,NA,"SSW","SSE",15,19,81,51,1017.2,1016.5,7,1,18.4,23.3,"Yes",0,"No"
2008-02-15,"Sydney",18.3,24.4,0,6.2,8.5,NA,NA,"SW","SSE",19,22,80,56,1020.2,1018.9,7,3,19.5,23.8,"No",0,"No"
2008-02-16,"Sydney",16.7,24.1,0,6.2,8.8,NA,NA,"WNW","SSE",11,26,77,52,1023,1022.6,7,6,19.8,23.3,"No",0,"No"
2008-02-17,"Sydney",19.5,24.8,0,7.6,3.2,NA,NA,"SE","ESE",13,24,63,62,1024.7,1023.1,7,7,21.8,23.4,"No",0,"No"
2008-02-18,"Sydney",18.6,25.3,0,4.2,4.5,NA,NA,"SSE","ENE",13,24,70,59,1021.7,1019.4,7,6,21.2,23.8,"No",0,"No"
2008-02-19,"Sydney",19,24.8,0,5.2,7.5,NA,NA,"WNW","E",7,17,79,65,1018,1015.4,7,7,20.8,23.4,"No",0,"No"
2008-02-20,"Sydney",18.3,26.4,0,4.6,11.1,NA,NA,"W","E",13,22,80,60,1013.4,1010.8,3,1,21.3,25.2,"No",0,"No"
2008-02-21,"Sydney",20.6,26.8,0,6.8,6.4,NA,NA,"WNW","SE",4,15,86,62,1011.4,1009.7,7,7,22.1,24.9,"No",0.4,"No"
2008-02-22,"Sydney",19.1,25.4,0.4,4.4,9.4,NA,NA,"WNW","E",11,28,77,66,1009.2,1003.1,4,1,22.3,24.9,"No",0,"No"
2008-02-23,"Sydney",20.5,26,0,6.6,12.2,NA,NA,"WSW","ESE",20,24,38,45,1007.4,1007,1,1,22.5,24,"No",0,"No"
2008-02-24,"Sydney",16.5,28.3,0,8.6,12,NA,NA,"WNW","ESE",11,24,48,40,1007.9,1008,0,0,21.2,26.1,"No",0,"No"
2008-02-25,"Sydney",20.5,24.2,0,8.6,1.5,NA,NA,"E","E",15,20,58,54,1017.5,1016.9,7,7,21.6,23.5,"No",0,"No"
2008-02-26,"Sydney",19.3,26.2,0,3.6,8.4,NA,NA,"WSW","E",2,28,73,65,1018.3,1015.6,1,6,23,25.8,"No",22.2,"Yes"
2008-02-27,"Sydney",19,29,22.2,8.2,3.3,NA,NA,NA,"NNE",0,15,82,52,1014.1,1010.6,7,7,21.3,24.7,"Yes",4.2,"Yes"
2008-02-28,"Sydney",17.9,21.4,4.2,4.2,0,NA,NA,"S","ESE",20,9,77,88,1010,1010.1,8,8,20.4,19.2,"Yes",33,"Yes"
2008-02-29,"Sydney",14.7,20.6,33,7,8.9,NA,NA,"SW","S",24,28,65,51,1015.3,1015.6,5,3,17.1,19.9,"Yes",0.2,"No"
2008-03-01,"Sydney",12.8,22,0.2,6.2,11.3,NA,NA,"W","SSE",19,31,55,46,1020.9,1020.6,0,1,15.9,21.2,"No",5.4,"Yes"
2008-03-02,"Sydney",14.2,23.4,5.4,6.4,7.3,NA,NA,"W","SE",13,17,93,54,1026.2,1025.2,7,2,15.1,22.4,"Yes",0.2,"No"
2008-03-03,"Sydney",15,23.1,0.2,2.6,11.2,NA,NA,"W","ENE",15,19,78,57,1025.8,1022.5,1,1,18.2,22.5,"No",0,"No"
2008-03-04,"Sydney",15.5,25.4,0,6.8,11.3,NA,NA,"WNW","E",9,19,77,57,1020.5,1018.6,0,2,18.7,23.8,"No",0,"No"
2008-03-05,"Sydney",18.7,25.8,0,6,8.7,NA,NA,"S","ESE",19,22,72,64,1024.8,1024.2,6,3,22.6,24.1,"No",0,"No"
2008-03-06,"Sydney",19.6,26,0,5,10.4,NA,NA,"N","ENE",11,19,67,65,1024.2,1019.8,1,1,22.1,24.7,"No",0,"No"
