"Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RISK_MM","RainTomorrow"
2008-12-01,"Albury",13.4,22.9,0.6,NA,NA,"W",44,"W","WNW",20,24,71,22,1007.7,1007.1,8,NA,16.9,21.8,"No",0,"No"
2008-12-01,"Newcastle",13.2,NA,0,NA,NA,NA,NA,"NW","NW",6,19,50,24,NA,NA,3,4,21.8,30.6,"No",0,"No"
2008-12-01,"Penrith",15.2,32.6,0,NA,NA,"WNW",59,"NNE","W",13,22,35,23,NA,NA,NA,NA,24.4,31.3,"No",0,"No"
2008-12-01,"Sydney",17.6,31.3,0,7.6,10.9,NA,NA,"ENE","WNW",2,24,29,21,1009.1,1004.6,3,7,24.9,30.8,"No",0,"No"
2008-12-01,"Wollongong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.9,1003.3,NA,NA,NA,NA,NA,NA,NA
2008-12-01,"Canberra",13.6,25.2,0,9.6,13,"WNW",80,"WNW","NW",26,43,31,28,1006.3,1004.4,1,6,19.9,23.9,"No",0,"No"
2008-12-01,"Tuggeranong",13.1,24.2,0,NA,NA,"WNW",61,"NW","WNW",22,33,36,34,1005.6,1003.6,NA,NA,19.6,23.1,"No",0,"No"
2008-12-01,"MountGinini",5.2,13,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",0.4,"No"
2008-12-01,"Ballarat",5.8,17.6,3.2,NA,NA,"W",52,"W","WNW",26,30,71,37,1008.2,1007.5,6,NA,10.4,15.7,"Yes",0.4,"No"
2008-12-01,"Bendigo",9.1,21.7,0,7.4,NA,"W",44,"WNW","WSW",20,20,47,23,1009.1,1007.5,2,5,14,19.4,"No",0,"No"
2008-12-01,"Melbourne",11.8,20.8,1.4,7.2,10.1,"WSW",56,"WSW","W",24,31,52,32,1009,1007.8,5,6,15.4,19.3,"Yes",0,"No"
2008-12-01,"Brisbane",17,31.3,0,7.2,13.2,"S",30,"WNW","NE",4,13,52,41,1013.9,1010.1,1,1,25.4,28.6,"No",0,"No"
2008-12-01,"Cairns",25.2,32.3,0.4,4,6.4,"NE",31,"E","ENE",7,13,62,66,1011.3,1008.1,5,7,31.2,30.7,"No",8.4,"Yes"
2008-12-01,"GoldCoast",17,30.4,0,NA,NA,"NNW",31,"NNW","NE",17,22,52,61,1013.5,1010.7,NA,NA,26.2,28.5,"No",0,"No"
2008-12-01,"Townsville",24.4,31.4,23.6,4.6,11.6,"ENE",33,"NE","ENE",11,26,72,74,1011.9,1008.9,5,4,30.1,30.1,"Yes",0.6,"No"
2008-12-01,"Adelaide",12.6,21.3,0,6.8,9.6,"WSW",33,"WSW","SW",20,17,46,44,1012.8,1012.1,NA,NA,17.1,20.2,"No",0,"No"
2008-12-01,"MountGambier",6.6,18.7,4,5,10.6,"WNW",61,"WNW","WNW",20,30,73,39,1009.4,1008.9,3,3,13.4,17.8,"Yes",0,"No"
2008-12-01,"Albany",13.3,18.5,0,3.8,8.9,NA,NA,"NNW","SW",4,17,82,63,1017.9,1015.2,7,5,15.2,17.9,"No",0,"No"
2008-12-01,"Perth",12.8,27.2,0,9,13,"S",33,"E","SSW",9,19,53,41,1016.4,1012.6,2,1,19.2,25.5,"No",0,"No"
2008-12-01,"Hobart",9.7,18.3,0.8,4.2,11.6,"NW",61,"NW","WNW",26,15,54,40,998,998.8,2,2,12.7,15.9,"No",2.6,"Yes"
2008-12-01,"Launceston",9.5,17.9,3.4,15.2,NA,"WNW",57,"WNW","NW",19,28,53,61,1000.6,1000.7,NA,NA,12.9,14.1,"Yes",4,"Yes"
2008-12-01,"AliceSprings",19.6,37.6,0,11.2,9.8,"WNW",87,"NNE","NE",20,11,17,16,1010.5,1005.8,0,3,30.4,37.2,"No",1.2,"Yes"
2008-12-01,"Darwin",26.4,34.6,0,3.6,7.9,"NNE",52,"SSW","NNW",17,13,70,58,1010.5,1005.9,7,7,30.6,33.9,"No",1.8,"Yes"
